Ontology ID,label,parent class,definition,definition cross reference,comment,has role,has quality,original index,Related syn.,English syn.
ID,AL rdfs:label@en,SC % SPLIT=|,AL IAO:0000115@en,>AI oboInOwl:hasDbXref SPLIT=|,AL rdfs:comment@en,C 'has role' some % SPLIT=|,C 'has quality' some % SPLIT=|,AL oboInOwl:hasRelatedSynonym@en SPLIT=|,AL oboInOwl:hasExactSynonym@en SPLIT=|,
CDNO:0400001,dietary material physical attribute,PATO:0001018,A physical property that inheres in a food material or one or more dietary nutritional component,,,,,,,
