0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,,,n-6 fatty acid (omega 6 pufa),,05_n-6 fatty acid (omega 6 pufa),[5],CHEBI:36009,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,n-6 fatty acid (omega 6 pufa),CHEBI:36009,is a
,,,,,,linolenic acid,06_ linolenic acid,[6],CHEBI:25048,is a,,,polyunsaturated fatty acid,CHEBI:26208,linolenic acid,CHEBI:25048,is a
,,,,,,homo-g-linolenic acid,06_homo-g-linolenic acid,[6],CHEBI:53486,is a,,,polyunsaturated fatty acid,CHEBI:26208,homo-g-linolenic acid,CHEBI:53486,is a
,,,,,,γ-linolenic acid,06_γ-linolenic acid,[6],CHEBI:28661,is a,,,polyunsaturated fatty acid,CHEBI:26208,γ-linolenic acid,CHEBI:28661,is a
,,,,,,eicosadienoic acid  (icosadienoic acid),06_eicosadienoic acid (icosadienoic acid),[6],CHEBI:72850,is a,equivalent chebi term,,polyunsaturated fatty acid,CHEBI:26208,eicosadienoic acid (icosadienoic acid),CHEBI:72850,is a
,,,,,,arachidonic acid,06_arachidonic acid,[6],CHEBI:15843,is a,,,polyunsaturated fatty acid,CHEBI:26208,arachidonic acid,CHEBI:15843,is a
,,,,,,docosadienoic acid ,06_docosadienoic acid ,[6],CHEBI:75115,is a,,,polyunsaturated fatty acid,CHEBI:26208,docosadienoic acid,CHEBI:75115,is a
,,,,,,docosatetraenoic acid,06_docosatetraenoic acid,[6],CHEBI:131693,is a,,,polyunsaturated fatty acid,CHEBI:26208,docosatetraenoic acid,CHEBI:131693,is a
,,,,,,docosapentaenoic acid,06_docosapentaenoic acid,[6],CHEBI:61204,is a,,,polyunsaturated fatty acid,CHEBI:26208,docosapentaenoic acid,CHEBI:61204,is a
,,,trans-fatty acid,,,,03_trans-fatty acid,[3],CHEBI:166968,is a,,,fatty acid,CHEBI:35366,trans-fatty acid,CHEBI:166968,is a
,,capsaicin,,,,,02_capsaicin,[2],CHEBI:3374,is a,equivalent chebi term,,lipid,CHEBI:18059,capsaicin,CHEBI:3374,is a
,,phospholipid,,,,,02_phospholipid,[2],CHEBI:16247,is a,,,lipid,CHEBI:18059,phospholipid,CHEBI:16247,is a
,,,phophotidlycholine,,,,03_phophotidlycholine,[3],CHEBI:64482,is a,,,phospholipid,CHEBI:16247,phophotidlycholine,CHEBI:64482,is a
,,,phosphatidylethanolamine,,,,03_phosphatidylethanolamine,[3],CHEBI:16038,is a,,,phospholipid,CHEBI:16247,phosphatidylethanolamine,CHEBI:16038,is a
,,,phosphatidyl-L-serine,,,,03_phosphatidyl-L-serine,[3],CHEBI 18303,is a,,,phospholipid,CHEBI:16247,phosphatidyl-L-serine,CHEBI:18303,is a
,,,phosphatidylinositol,,,,03_phosphatidylinositol,[3],CHEBI:28874,is a,,,phospholipid,CHEBI:16247,phosphatidylinositol,CHEBI:28874,is a
,,,lysophosphatidylcholine ,,,,03_lysophosphatidylcholine ,[3],CHEBI:60479,is a,,,phospholipid,CHEBI:16247,lysophosphatidylcholine,CHEBI:60479,is a
,,glycolipid,,,,,02_glycolipid,[2],CHEBI:33563,is a,,,lipid,CHEBI:18059,glycolipid,CHEBI:33563,is a
,,,glycoglycerolipid,,,,03_glycoglycerolipid,[3],CHEBI:24385,is a,,,glycolipid,CHEBI:33563,glycoglycerolipid,CHEBI:24385,is a
,,sterol,,,,,02_sterol,[2],CHEBI:15889,is a,,,lipid,CHEBI:18059,sterol,CHEBI:15889,is a
,,,campestanol,,,,03_campestanol,[3],CHEBI:36799,is a,,,sterol,CHEBI:15889,campestanol,CHEBI:36799,is a
,,,cholesterol,,,,03_cholesterol,[3],CHEBI:16113,is a,,,sterol,CHEBI:15889,cholesterol,CHEBI:16113,is a
,,,lupeol,,,,03_lupeol,[3],CHEBI:6570,is a,,,sterol,CHEBI:15889,lupeol,CHEBI:6570,is a
,,,,stigmastanol (sitostanol),,,04_stigmastanol (sitostanol),[4],CHEBI:89400,is a,,,lupeol,CHEBI:6570,stigmastanol (sitostanol),CHEBI:89400,is a
,,,phytosterol,,,,03_phytosterol,[3],CHEBI:26125,is a,,,sterol,CHEBI:15889,phytosterol,CHEBI:26125,is a
,,,,avenasterol,,,04_avenasterol,[4],CHEBI:166888,is a,,,phytosterol,CHEBI:26125,avenasterol,CHEBI:166888,is a
,,,,,delta5-avenasterol,,05_delta5-avenasterol,[5],CHEBI:28604,is a,,,avenasterol,CHEBI:166888,delta5-avenasterol,CHEBI:28604,is a
,,,,,delta7-avenasterol,,05_delta7-avenasterol,[5],CHEBI:80096,is a,,,avenasterol,CHEBI:166888,delta7-avenasterol,CHEBI:80096,is a
,,,,brassicasterol,,,04_brassicasterol,[4],CHEBI:3168,is a,,,phytosterol,CHEBI:26125,brassicasterol,CHEBI:3168,is a
,,,,campesterol,,,04_campesterol,[4],CHEBI:28623,is a,,,phytosterol,CHEBI:26125,campesterol,CHEBI:28623,is a
,,,,ergosterol,,,04_ergosterol,[4],CHEBI:16933,is a,,,phytosterol,CHEBI:26125,ergosterol,CHEBI:16933,is a
,,,,sitosterol,,,04_sitosterol,[4],CHEBI:27693,is a,,,phytosterol,CHEBI:26125,sitosterol,CHEBI:27693,is a
,,,,stigmastanol,,,04_stigmastanol,[4],CHEBI:89400,is a,,,phytosterol,CHEBI:26125,stigmastanol,CHEBI:89400,is a
,,,,stigmasterol,,,04_stigmasterol,[4],CHEBI:28824,is a,,,phytosterol,CHEBI:26125,stigmasterol,CHEBI:28824,is a
,,,,,delta7-stigmasterol,,05_delta7-stigmasterol,[5],CHEBI:166889,is a,Corbisterol,,stigmasterol,CHEBI:28824,delta7-stigmasterol,CHEBI:166889,is a
,element,,,,,,01_element,[1],unspecified chebi term,is a,minerals,,dietary nutritional component,unspecified CHEBI term,element,unspecified CHEBI term,is a
,,macro element,,,,,02_macro element,[2],unspecified chebi term,is a,macromineral,,element,unspecified chebi term,macro element,unspecified CHEBI term,is a
,,,calcium,,,,03_calcium,[3],CHEBI:22984,is a,equivalent chebi term,,macro element,unspecified chebi term,calcium,CHEBI:22984,is a
,,,chloride,,,,03_chloride,[3],CHEBI:17996,is a,,,macro element,unspecified chebi term,chloride,CHEBI:17996,is a
,,,magnesium,,,,03_magnesium,[3],CHEBI:25107,is a,equivalent chebi term,,macro element,unspecified chebi term,magnesium,CHEBI:25107,is a
,,,nitrogen,,,,03_nitrogen,[3],CHEBI:25555,is,equivalent chebi term,,macro element,unspecified chebi term,nitrogen,CHEBI:25555,is a
,,,phosphorus,,,,03_phosphorus,[3],CHEBI:28659,is a,equivalent chebi term,,macro element,unspecified chebi term,phosphorus,CHEBI:28659,is a
,,,potassium,,,,03_potassium,[3],CHEBI:26216,is a,equivalent chebi term,,macro element,unspecified chebi term,potassium,CHEBI:26216,is a
,,,sodium,,,,03_sodium,[3],CHEBI:26708,is a,equivalent chebi term,,macro element,unspecified chebi term,sodium,CHEBI:26708,is a
,,,sulfur,,,,03_sulfur,[3],CHEBI:26833,is a,equivalent chebi term,,macro element,unspecified chebi term,sulfur,CHEBI:26833,is a
,,trace element,,,,,02_trace element,[2],unspecified chebi term,is a,micromineral,,element,unspecified chebi term,trace element,unspecified CHEBI term,is a
,,,aluminium,,,,03_aluminium,[3],CHEBI:28984,is a,equivalent chebi term,,trace element,unspecified chebi term,aluminium,CHEBI:28984,is a
,,,antimony,,,,03_antimony,[3],CHEBI:30513,is a,equivalent chebi term,,trace element,unspecified chebi term,antimony,CHEBI:30513,is a
,,,arsenic,,,,03_arsenic,[3],CHEBI:27563,is a,equivalent chebi term,,trace element,unspecified chebi term,arsenic,CHEBI:27563,is a
,,,boron,,,,03_boron,[3],CHEBI:27560,is a,equivalent chebi term,,trace element,unspecified chebi term,boron,CHEBI:27560,is a
,,,cadmium,,,,03_cadmium,[3],CHEBI:22977,is a,equivalent chebi term,,trace element,unspecified chebi term,cadmium,CHEBI:22977,is a
,,,chromium,,,,03_chromium,[3],CHEBI:28073,is a,equivalent chebi term,,trace element,unspecified chebi term,chromium,CHEBI:28073,is a
,,,cobalt,,,,03_cobalt,[3],CHEBI:27638,is a,equivalent chebi term,,trace element,unspecified chebi term,cobalt,CHEBI:27638,is a
,,,copper,,,,03_copper,[3],CHEBI:28694,is a,equivalent chebi term,,trace element,unspecified chebi term,copper,CHEBI:28694,is a
,,,fluoride,,,,03_fluoride,[3],CHEBI:17051,is a,equivalent chebi term,,trace element,unspecified chebi term,fluoride,CHEBI:17051,is a
,,,iodine,,,,03_iodine,[3],CHEBI:24859,is a,equivalent chebi term,,trace element,unspecified chebi term,iodine,CHEBI:24859,is a
,,,iron,,,,03_iron,[3],CHEBI:18248,is a,equivalent chebi term,,trace element,unspecified chebi term,iron,CHEBI:18248,is a
,,,lead,,,,03_lead,[3],CHEBI:25016,is a,equivalent chebi term,,trace element,unspecified chebi term,lead,CHEBI:25016,is a
,,,lithium,,,,03_lithium,[3],CHEBI:30145,is a,equivalent chebi term,,trace element,unspecified chebi term,lithium,CHEBI:30145,is a
,,,manganese,,,,03_manganese,[3],CHEBI:18291,is a,equivalent chebi term,,trace element,unspecified chebi term,manganese,CHEBI:18291,is a
,,,mercury,,,,03_mercury,[3],CHEBI:25195,is a,equivalent chebi term,,trace element,unspecified chebi term,mercury,CHEBI:25195,is a
,,,molybdenum,,,,03_molybdenum,[3],CHEBI:28685,is a,equivalent chebi term,,trace element,unspecified chebi term,molybdenum,CHEBI:28685,is a
,,,nickel,,,,03_nickel,[3],CHEBI:28112,is a,equivalent chebi term,,trace element,unspecified chebi term,nickel,CHEBI:28112,is a
,,,rubidium,,,,03_rubidium,[3],CHEBI:33322,is a,equivalent chebi term,,trace element,unspecified chebi term,rubidium,CHEBI:33322,is a
,,,selenium,,,,03_selenium,[3],CHEBI:27568,is a,equivalent chebi term,,trace element,unspecified chebi term,selenium,CHEBI:27568,is a
,,,strontium,,,,03_strontium,[3],CHEBI:33324,is a,equivalent chebi term,,trace element,unspecified chebi term,strontium,CHEBI:33324,is a
,,,tin,,,,03_tin,[3],CHEBI:27007,is a,equivalent chebi term,,trace element,unspecified chebi term,tin,CHEBI:27007,is a
,,,titanum,,,,03_titanum,[3],CHEBI:33341,is a,,,trace element,unspecified chebi term,titanum,CHEBI:33341,is a
,,,vanadium,,,,03_vanadium,[3],CHEBI:27698,is a,equivalent chebi term,,trace element,unspecified chebi term,vanadium,CHEBI:27698,is a
,,,zinc,,,,03_zinc,[3],CHEBI:27363,is a,equivalent chebi term,,trace element,unspecified chebi term,zinc,CHEBI:27363,is a
,,,barium,,,,03_barium,[3],CHEBI:32595,is a,,,trace element,unspecified chebi term,barium,CHEBI:32595,is a
,,,caesium,,,,03_caesium atom,[3],CHEBI:30514,is a,,,trace element,unspecified chebi term,caesium atom,CHEBI:30514,is a
,,,bismuth,,,,03_bismuth,[3],CHEBI:33301,is a,,,trace element,unspecified chebi term,bismuth,CHEBI:33301,is a
,,,lanthanum,,,,03_lanthanum,[3],CHEBI:33336,is a,,,trace element,unspecified chebi term,lanthanum,CHEBI:33336,is a
,salt,,,,,,01_salt,[1],CHEBI:24866,is a,,,dietary nutritional component,unspecified CHEBI term,salt,CHEBI:24866,is a
,,sodium chloride ,,,,,02_sodium chloride,[2],CHEBI:26710,is a,,,salt,CHEBI:24866,sodium chloride,CHEBI:26710,is a
,,inorganic nitrate,,,,,02_inorganic nitrate salt,[2],CHEBI:51084,is a,,,salt,CHEBI:24866,inorganic nitrate salt,CHEBI:51084,is a
,,bromide,,,,,02_bromide,[2],CHEBI:15858,is a,,,salt,CHEBI:24866,bromide,CHEBI:15858,is a
,vitamin,,,,,,01_vitamin,[1],CHEBI:33229,is a,,,dietary nutritional component,unspecified CHEBI term,vitamin,CHEBI:33229,is a
,,water soluble vitamin,,,,,02_water soluble vitamin,[2],CHEBI:27314,is a,,,vitamin,CHEBI:33229,water soluble vitamin,CHEBI:27314,is a
,,,vitamin B,,,,03_vitamin B,[3],CHEBI:75782,has role,equivalent chebi term,,water soluble vitamin,CHEBI:27314,vitamin B,CHEBI:75782,has role
,,,,5-formyltetrahydrofolic acid,,,04_5-formyltetrahydrofolic acid,[4],CHEBI:15640,is a,,,vitamin B,CHEBI:75782,5-formyltetrahydrofolic acid,CHEBI:15640,is a
,,,,"(6R)-5,10-methenyltetrahydrofolate",,,"04_(6R)-5,10-methenyltetrahydrofolate",[4],CHEBI:57455,is a,,,vitamin B,CHEBI:75782,"(6R)-5,10-methenyltetrahydrofolate",CHEBI:57455,is a
,,,,thiamine (b1),,,04_thiamine (b1),[4],CHEBI:26948,is a,equivalent chebi term,,vitamin B,CHEBI:75782,thiamine (b1),CHEBI:26948,is a
,,,,riboflavin (b2),,,04_riboflavin (b2),[4],CHEBI:17015,is a,equivalent chebi term,,vitamin B,CHEBI:75782,riboflavin (b2),CHEBI:17015,is a
,,,,niacin (b3) (nicotinic acid),,,04_niacin (b3) (nicotinic acid),[4],CHEBI:15940,is a,equivalent chebi term,,vitamin B,CHEBI:75782,niacin (b3) (nicotinic acid),CHEBI:15940,is a
,,,,pantothenic acid (b5),,,04_pantothenic acid (b5),[4],CHEBI:46905,is a,equivalent chebi term,,vitamin B,CHEBI:75782,pantothenic acid (b5),CHEBI:46905,is a
,,,,pyridoxine (b6),,,04_pyridoxine (b6),[4],CHEBI:16709,is a,equivalent chebi term,,vitamin B,CHEBI:75782,pyridoxine (b6),CHEBI:16709,is a
,,,,biotin (b7),,,04_biotin (b7),[4],CHEBI:15956,is a,equivalent chebi term,,vitamin B,CHEBI:75782,biotin (b7),CHEBI:15956,is a
,,,,b9 folate (folic acid),,,04_b9 folate (folic acid),[4],CHEBI:27470,is a,equivalent chebi term,,vitamin B,CHEBI:75782,b9 folate (folic acid),CHEBI:27470,is a
,,,,cyanocobalamin (b12),,,04_cyanocobalamin (b12),[4],CHEBI:17439,is a,equivalent chebi term,,vitamin B,CHEBI:75782,cyanocobalamin (b12),CHEBI:17439,is a
,,,vitamin C ,,,,03_vitamin C,[3],CHEBI:21241,has role,,,water soluble vitamin,CHEBI:27314,vitamin C,CHEBI:21241,has role
,,,,L-ascorbic acid,,,04_L-ascorbic acid,[4],CHEBI:29073,is a,,,vitamin C,CHEBI:21241,L-ascorbic acid,CHEBI:29073,is a
,,fat soluble vitamin,,,,,02_fat soluble vitamin,[2],CHEBI:24020,is a,,,vitamin,CHEBI:33229,fat soluble vitamin,CHEBI:24020,is a
,,,vitamin A,,,,03_vitamin A,[3],CHEBI:12777,has role,,,fat soluble vitamin,CHEBI:24020,vitamin A,CHEBI:12777,has role
,,,,carotenoid,,,04_carotenoid,[4],CHEBI:23044,is a,,,vitamin A,CHEBI:12777,carotenoid,CHEBI:23044,is a
,,,,,α-carotene,,05_α-carotene,[5],CHEBI:28425,is a,,,carotenoid,CHEBI:23044,α-carotene,CHEBI:28425,is a
,,,,,β-carotene,,05_β-carotene,[5],CHEBI:17579,is a,,,carotenoid,CHEBI:23044,β-carotene,CHEBI:17579,is a
,,,,,,trans-beta-carotene,06_trans-beta-carotene,[6],CHEBI:140677,is a,equivalent chebi term,,β-carotene,CHEBI:17579,trans-beta-carotene,CHEBI:140677,is a
,,,,,,beta-carotene-cis,06_beta-carotene-cis,[6],CHEBI:67188,is a,equivalent chebi term,,β-carotene,CHEBI:17579,beta-carotene-cis,CHEBI:67188,is a
,,,vitamin D,,,,03_vitamin D,[3],CHEBI:27300,has role,,,fat soluble vitamin,CHEBI:24020,vitamin D,CHEBI:27300,has role
,,,,calcidiol,,,04_calcidiol,[4],CHEBI:17933,is a,,,vitamin D,CHEBI:27300,calcidiol,CHEBI:17933,is a
,,,vitamin E,,,,03_vitamin E,[3],CHEBI:33234,has role,,,fat soluble vitamin,CHEBI:24020,vitamin E,CHEBI:33234,has role
,,,,tocopherol,,,04_tocopherol,[4],CHEBI:27013,is a,,,vitamin E,CHEBI:33234,tocopherol,CHEBI:27013,is a
,,,,,α-tocopherol,,05_α-tocopherol,[5],CHEBI:22470,is a,,,tocopherol,CHEBI:27013,α-tocopherol,CHEBI:22470,is a
,,,,,β-tocopherol,,05_β-tocopherol,[5],CHEBI:47771,is a,,,tocopherol,CHEBI:27013,β-tocopherol,CHEBI:47771,is a
,,,,,γ-tocopherol,,05_γ-tocopherol,[5],CHEBI:18185,is a,,,tocopherol,CHEBI:27013,γ-tocopherol,CHEBI:18185,is a
,,,,,δ-tocopherol,,05_δ-tocopherol,[5],CHEBI:47772,is a,,,tocopherol,CHEBI:27013,δ-tocopherol,CHEBI:47772,is a
,,,,tocotrienol,,,04_tocotrienol,[4],CHEBI:33235,is a,,,vitamin E,CHEBI:33234,tocotrienol,CHEBI:33235,is a
,,,,,α-tocotrienol,,05_α-tocotrienol,[5],CHEBI:33270,is a,,,tocotrienol,CHEBI:33235,α-tocotrienol,CHEBI:33270,is a
,,,,,β-tocotrienol,,05_β-tocotrienol,[5],CHEBI:33275,is a,,,tocotrienol,CHEBI:33235,β-tocotrienol,CHEBI:33275,is a
,,,,,γ-tocotrienol,,05_γ-tocotrienol,[5],CHEBI:33277,is a,,,tocotrienol,CHEBI:33235,γ-tocotrienol,CHEBI:33277,is a
,,,,,δ-tocotrienol,,05_δ-tocotrienol,[5],CHEBI:33276,is a,,,tocotrienol,CHEBI:33235,δ-tocotrienol,CHEBI:33276,is a
,,,vitamin K,,,,03_vitamin K,[3],CHEBI:28384,has role,,,fat soluble vitamin,CHEBI:24020,vitamin K,CHEBI:28384,has role
,plant secondary metabolite,,,,,,01_plant secondary metabolite,[1],unspecified chebi term,is a,,,dietary nutritional component,unspecified CHEBI term,plant secondary metabolite,unspecified CHEBI term,is a
,,alkaloid,,,,,02_alkaloid,[2],CHEBI:22315,is a,,,plant secondary metabolite,unspecified CHEBI term,alkaloid,CHEBI:22315,is a
,,,caffeine,,,,03_caffeine,[3],CHEBI:27732,is a,,,alkaloid,CHEBI:22315,caffeine,CHEBI:27732,is a
,,,mescaline,,,,03_mescaline,[3],CHEBI:28346,is a,,,alkaloid,CHEBI:22315,mescaline,CHEBI:28346,is a
,,,theobromine,,,,03_ theobromine,[3],CHEBI:28946,is a,,,alkaloid,CHEBI:22315,theobromine,CHEBI:28946,is a
,,phenols,,,,,02_phenols,[2],CHEBI:33853,is a,,,plant secondary metabolite,unspecified CHEBI term,phenols,CHEBI:33853,is a
,,,polyphenol,,,,03_polyphenol,[3],CHEBI:26195,is a,,,phenols,CHEBI:33853,polyphenol,CHEBI:26195,is a
,,,,tannin,,,04_tannin,[4],CHEBI:26848,is a,,,polyphenol,CHEBI:26195,tannin,CHEBI:26848,is a
,,,,,chlorogenic acid,,05_chlorogenic acid,[5],CHEBI:16112,is a,,,tannin,CHEBI:26848,chlorogenic acid,CHEBI:16112,is a
,,,,,condensed tannin ,,05_condensed tannin ,[5],CHEBI:26267,is a,equivalent chebi term,,tannin,CHEBI:26848,condensed tannin,CHEBI:26267,is a
,,,,,hydrolysable tannin ,,05_hydrolysable tannin ,[5],CHEBI:78689,is a,,,tannin,CHEBI:26848,hydrolysable tannin,CHEBI:78689,is a
,,,,,ellagitannin,,05_ellagitannin,[5],CHEBI:23909,is a,,,tannin,CHEBI:26848,ellagitannin,CHEBI:23909,is a
,,,,,gallotannin,,05_gallotannin,[5],CHEBI:24182,is a,,,tannin,CHEBI:26848,gallotannin,CHEBI:24182,is a
,,,,,phlorotannin,,05_phlorotannin,[5],CHEBI:71222,is a,,,tannin,CHEBI:26848,phlorotannin,CHEBI:71222,is a
,,,,,catechol,,05_catechol,[5],CHEBI:18135,is a,,,tannin,CHEBI:26848,catechol,CHEBI:18135,is a
,,,,,phloroglucinol,,05_phloroglucinol,[5],CHEBI:16204,is a,,,tannin,CHEBI:26848,phloroglucinol,CHEBI:16204,is a
,,,,(−)-epigallocatechin 3-gallate,,,04_(−)-epigallocatechin 3-gallate,[4],CHEBI:4806,is a,,,polyphenol,CHEBI:26195,(−)-epigallocatechin 3-gallate,CHEBI:4806,is a
,,phenolic acid c6 --c1,,,,,02_phenolic acid c6 --c1,[2],CHEBI:166890,is a,,,plant secondary metabolite,unspecified CHEBI term,phenolic acid c6--c1,CHEBI:166890,is a
,,,gallic acid,,,,03_gallic acid,[3],CHEBI:30778,is a,,,phenolic acid c6--c1,CHEBI:166890,gallic acid,CHEBI:30778,is a
,,,hydroxybenzoic acid,,,,03_hydroxybenzoic acid,[3],CHEBI:24676,is a,,,phenolic acid c6--c1,CHEBI:166890,hydroxybenzoic acid,CHEBI:24676,is a
,,,,salicylic acid,,,04_salicylic acid,[4],CHEBI:16914,is a,,,hydroxybenzoic acid,CHEBI:24676,salicylic acid,CHEBI:16914,is a
,,,arbutin,,,,03_arbutin,[3],CHEBI:18305,is a,,,phenolic acid c6--c1,CHEBI:166890,arbutin,CHEBI:18305,is a
,,,vanillic acid ,,,,03_vanillic acid ,[3],CHEBI:30816,is a,,,phenolic acid c6--c1,CHEBI:166890,vanillic acid,CHEBI:30816,is a
,,,syringic acid ,,,,03_syringic acid ,[3],CHEBI:68329,is a,,,phenolic acid c6--c1,CHEBI:166890,syringic acid,CHEBI:68329,is a
,,phenolic ketone c6--c2,,,,,02_phenolic ketone c6--c2,[2],CHEBI:51867,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,phenolic ketone c6--c2,CHEBI:51867,is a
,,,acetophenone,,,,03_acetophenone,[3],CHEBI:27632,is a,,,phenolic ketone c6--c2,CHEBI:51867,acetophenone,CHEBI:27632,is a
,,,phenylacetic acid ,,,,03_phenylacetic acid ,[3],CHEBI:30745,is a,,,phenolic ketone c6--c2,CHEBI:51867,phenylacetic acid,CHEBI:30745,is a
,,hydroxycinnamates (c6--c3),,,,,02_hydroxycinnamates (c6--c3),[2],CHEBI:24689,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,hydroxycinnamates (c6--c3),CHEBI:24689,is a
,,,caffeic acid,,,,03_caffeic acid,[3],CHEBI:36281,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,caffeic acid,CHEBI:36281,is a
,,,sinapic acid,,,,03_sinapic acid,[3],CHEBI:77131,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,sinapic acid,CHEBI:77131,is a
,,,chromones,,,,03_chromones,[3],CHEBI:23238,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,chromones,CHEBI:23238,is a
,,,chicoric acid,,,,03_chicoric acid,[3],CHEBI:3594,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,chicoric acid,CHEBI:3594,is a
,,,coumaric acid,,,,03_coumaric acid,[3],CHEBI:23401,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,coumaric acid,CHEBI:23401,is a
,,,,p-coumaric acid (-4-coumaric acid),,,04_p-coumaric acid (-4-coumaric acid),[4],CHEBI:36090,is a,equivalent chebi term,,coumaric acid,CHEBI:23401,p-coumaric acid (-4-coumaric acid),CHEBI:36090,is a
,,,,o-coumaric acid (2-coumaric acid),,,04_o-coumaric acid (2-coumaric acid),[4],CHEBI:18176,is a,equivalent chebi term,,coumaric acid,CHEBI:23401,o-coumaric acid (2-coumaric acid),CHEBI:18176,is a
,,,,m-coumaric (3-coumaric acid),,,04_m-coumaric (3-coumaric acid),[4],CHEBI:47925,is a,equivalent chebi term,,coumaric acid,CHEBI:23401,m-coumaric (3-coumaric acid),CHEBI:47925,is a
,,,ferulic acid,,,,03_ferulic acid,[3],CHEBI:17620,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,ferulic acid,CHEBI:17620,is a
,,,scopoletin,,,,03_scopoletin,[3],CHEBI:17488,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,scopoletin,CHEBI:17488,is a
,,,phenylpropane ,,,,03_phenylpropane ,[3],CHEBI:166891,is a,,,hydroxycinnamates (c6--c3),CHEBI:24689,phenylpropane,CHEBI:166891,is a
,,napthoquinone c6--c4,,,,,02_napthoquinone c6--c4,[2],CHEBI:25481,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,napthoquinone c6--c4,CHEBI:25481,is a
,,,"1,2-napthoquinone",,,,"03_1,2-napthoquinone",[3],CHEBI:132141,is a,,,napthoquinone c6--c4,CHEBI:25481,"1,2-napthoquinone",CHEBI:132141,is a
,,,"1,4-napthoquinone",,,,"03_1,4-napthoquinone",[3],CHEBI:132142,is a,,,napthoquinone c6--c4,CHEBI:25481,"1,4-napthoquinone",CHEBI:132142,is a
,,,,juglone,,,04_juglone,[4],CHEBI:15794,is a,,,"1,4-napthoquinone",CHEBI:132142,juglone,CHEBI:15794,is a
,,stilbenoid c6--c2--c6,,,,,02_stilbenoid c6--c2--c6,[2],CHEBI:26776,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,stilbenoid c6--c2--c6,CHEBI:26776,is a
,,,stilbene,,,,03_stilbene,[3],CHEBI:26775,is a,,,stilbenoid (c6--c2--c6),CHEBI:26776,stilbene,CHEBI:26775,is a
,,,anthraquinone,,,,03_anthraquinone,[3],CHEBI:22580,is a,,,stilbenoid (c6--c2--c6),CHEBI:26776,anthraquinone,CHEBI:22580,is a
,,,,aglycone,,,04_aglycone,[4],CHEBI:166892,is a,,,anthraquinone,CHEBI:22580,aglycone,CHEBI:166892,is a
,,,,emodin ,,,04_emodin ,[4],CHEBI:42223,is a,,,anthraquinone,CHEBI:22580,emodin,CHEBI:42223,is a
,,xanthones c6--c01--c6 ,,,,,02_xanthones c6--c1--c6 ,[2],CHEBI:51149,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,xanthones c6--c01--c6,CHEBI:51149,is a
,,,simple oxygenated xanthones,,,,03_simple oxygenated xanthones,[3],CHEBI:166965,is a,,,xanthones c6--c01--c6,CHEBI:51149,simple oxygenated xanthones,CHEBI:166965,is a
,,,xanthone glycoside,,,,03_xanthone glycoside,[3],CHEBI:83231,is a,,,xanthones c6--c01--c6,CHEBI:51149,xanthone glycoside,CHEBI:83231,is a
,,,prenylated and related xanthones,,,,03_prenylated and related xanthones,[3],CHEBI:166966,is a,,,xanthones c6--c01--c6,CHEBI:51149,prenylated and related xanthones,CHEBI:166966,is a
,,,xanthonolignoid,,,,03_xanthonolignoid,[3],CHEBI:166894,is a,,,xanthones c6--c01--c6,CHEBI:51149,xanthonolignoid,CHEBI:166894,is a
,,,epigallocatechin-3-gallate,,,,03_epigallocatechin-3-gallate,[3],CHEBI:4806,is a,equivalent chebi term,,xanthones c6--c01--c6,CHEBI:51149,epigallocatechin-3-gallate,CHEBI:4806,is a
,,flavonoid c6--c3--c6,,,,,02_flavonoid c6--c3--c6,[2],CHEBI:72544,is a,equivalent chebi term,,plant secondary metabolite,unspecified CHEBI term,flavonoid c6--c3--c6,CHEBI:72544,is a
,,,flavonoid ,,,,03_flavonoid ,[3],CHEBI:47916,is a,,,flavonoid c6--c3--c6,CHEBI:72544,flavonoid,CHEBI:47916,is a
,,,,malvidin,,,04_malvidin,[4],CHEBI:6674,is a,,,flavonoid,CHEBI:47916,malvidin,CHEBI:6674,is a
,,,,kaempferol,,,04_kaempferol,[4],CHEBI:28499,is a,,,flavonoid,CHEBI:47916,kaempferol,CHEBI:28499,is a
,,,,flavan,,,04_flavan,[4],CHEBI:38691,is a,,,flavonoid,CHEBI:47916,flavan,CHEBI:38691,is a
,,,,flavanone,,,04_flavanone,[4],CHEBI:5070,is a,,,flavonoid,CHEBI:47916,flavanone,CHEBI:5070,is a
,,,,,6-prenylnaringenin,,05_6-prenylnaringenin,[5],CHEBI:27566,is a,,,flavanone,CHEBI:5070,6-prenylnaringenin,CHEBI:27566,is a
