0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,,verbascose,,,05_verbascose,[4],CHEBI:28586,is a,,,oligosaccharide,CHEBI:50699,verbascose,CHEBI:28586,is a
,,,maltose ,,,,03_maltose ,[3],CHEBI:17306,is a,,,oligosaccharide,CHEBI:50699,maltose,CHEBI:17306,is a
,,available carbohydrate,,,,,02_available carbohydrate,[2],unspecified CHEBI term,is a,,,carbohydrate,CHEBI:16646,available carbohydrate,unspecified CHEBI term,is a
,,,starch,,,,03_starch,[3],CHEBI:28017,is a,,,available carbohydrate,unspecified CHEBI term,starch,CHEBI:28017,is a
,,,,amylopectin,,,04_amylopectin,[4],CHEBI:28057,derived from,,,starch,CHEBI:28017,amylopectin,CHEBI:28057,derived from
,,,,,glucose ,,05_glucose ,[5],CHEBI:17234,derived from,,,amylopectin derived from starch,,glucose,CHEBI:17234,derived from
,,,,amylose ,,,04_amylose ,[4],CHEBI:28102,derived from,,,starch,CHEBI:28017,amylose,CHEBI:28102,derived from
,,,,,glucose ,,05_glucose ,[5],CHEBI:17234,derived from,,,amylose derived from starch,,glucose,CHEBI:17234,derived from
,,,free sugar,,,,03_free sugar,[3],unspecified CHEBI term,is a,,,available carbohydrate,unspecified CHEBI term,free sugar,unspecified CHEBI term,is a
,,,,fructose ,,,04_fructose ,[4],CHEBI:28757,is a,,,free sugar,unspecified CHEBI term,fructose,CHEBI:28757,is a
,,,,glucose,,,04_glucose,[4],CHEBI:17234,is a,,,free sugar,unspecified CHEBI term,glucose,CHEBI:17234,is a
,,,,sucrose,,,04_sucrose,[4],CHEBI:17992,is a,,,free sugar,unspecified CHEBI term,sucrose,CHEBI:17992,is a
,,,,,glucose,,05_glucose,[5],CHEBI:17234,derived from,,,sucrose,CHEBI:17992,glucose,CHEBI:17234,derived from
,,,,,fructose,,05_fructose,[5],CHEBI:28757,derived from,,,sucrose,CHEBI:17992,fructose,CHEBI:28757,derived from
,,,,maltose ,,,04_maltose ,[4],CHEBI:17306,is a,,,free sugar,unspecified CHEBI term,maltose,CHEBI:17306,is a
,,,,,glucose,,05_glucose,[5],CHEBI:17234,derived from,,,maltose,CHEBI:17306,glucose,CHEBI:17234,derived from
,,dietary fibre,,,,,02_dietary fibre,[2],unspecified CHEBI term,is a,"non digestible carbohydrate, resistant",,carbohydrate,CHEBI:16646,dietary fibre,unspecified CHEBI term,is a
,,,soluble dietary fibre,,,,03_soluble dietary fibre,[3],unspecified CHEBI term,is a,,,dietary fibre,unspecified CHEBI term,soluble dietary fibre,unspecified CHEBI term,is a
,,,,resistant starch,,,04_resistant starch,[4],unspecified CHEBI term,is a,,,soluble dietary fibre,unspecified CHEBI term,resistant starch,unspecified CHEBI term,is a
,,,,pectin,,,04_pectin,[4],CHEBI:17309,is a,,,soluble dietary fibre,unspecified CHEBI term,pectin,CHEBI:17309,is a
,,,,,galacturonan,,05_galacturonan,[5],CHEBI:24174,derived from,,,pectin,CHEBI:17309,galacturonan,CHEBI:24174,derived from
,,,,,,galacturonic acid ,06_galacturonic acid ,[6],CHEBI:33830,derived from,,,galacturonan derived from pectin,,galacturonic acid,CHEBI:33830,derived from
,,,,,rhamnogalacturonan,,05_rhamnogalacturonan,[5],CHEBI:26543,derived from,,,pectin,CHEBI:17309,rhamnogalacturonan,CHEBI:26543,derived from
,,,,,,rhamnose,06_rhamnose,[6],CHEBI:26546,derived from,,,rhamnogalacturonan derived from pectin,,rhamnose,CHEBI:26546,derived from
,,,,,,apiose,06_apiose,[6],CHEBI:16689,derived from,,,rhamnogalacturonan derived from pectin,,apiose,CHEBI:16689,derived from
,,,,,,galacturonic acid ,06_galacturonic acid ,[6],CHEBI:33830,derived from,,,rhamnogalacturonan derived from pectin,,galacturonic acid,CHEBI:33830,derived from
,,,,,,fucose,06_fucose,[6],CHEBI:33984,derived from,,,rhamnogalacturonan derived from pectin,,fucose,CHEBI:33984,derived from
,,,,,,xylose,06_xylose,[6],CHEBI:18222,derived from,,,rhamnogalacturonan derived from pectin,,xylose,CHEBI:18222,derived from
,,,,,,arabinose,06_arabinose,[6],CHEBI:22599,derived from,,,rhamnogalacturonan derived from pectin,,arabinose,CHEBI:22599,derived from
,,,,,,galactose,06_galactose,[6],CHEBI:28260,derived from,,,rhamnogalacturonan derived from pectin,,galactose,CHEBI:28260,derived from
,,,,raffinose family of oligosaccharide (rfo),,,04_raffinose family of oligosaccharide (rfo),[4],CHEBI:74961,is a,,,soluble dietary fibre,unspecified CHEBI term,raffinose family of oligosaccharide (rfo),CHEBI:74961,is a
