CHEBI:18185	#gamma-tocopherol
CHEBI:33277	#gamma-tocotrienol
CHEBI:79628	#gardenin b
CHEBI:28088	#genistein
CHEBI:27514	#genistin
CHEBI:5326	#geraldone
CHEBI:166899	#globulin type
CHEBI:37163	#glucan
CHEBI:30911	#glucitol
CHEBI:17020	#glucomannan
CHEBI:17234	#glucose
CHEBI:24278	#glucoside
CHEBI:18237	#glutamic acid
CHEBI:28300	#glutamine
CHEBI:166887	#glutenin
CHEBI:17754	#glycerol
CHEBI:15428	#glycine
CHEBI:17750	#glycine betaine
CHEBI:34778	#glycitein
CHEBI:80373	#glycitin
CHEBI:24385	#glycoglycerolipid
CHEBI:33563	#glycolipid
CHEBI:74630	#glycosyloxyisoflavone
CHEBI:32425	#gondoic acid
CHEBI:61266	#hemicellulose
CHEBI:32365	#heptadecanoic acid
CHEBI:28230	#hesperetin
CHEBI:28775	#hesperidin
CHEBI:75902	#hispidulin
CHEBI:27570	#histidine
CHEBI:53486	#homo-gamma-linolenic acid
CHEBI:74960	#homoeriodictyol
CHEBI:78689	#hydrolysable tannin
CHEBI:24676	#hydroxybenzoic acid
CHEBI:24689	#hydroxycinnamates
CHEBI:38755	#hydroxyisoflavone
CHEBI:24741	#hydroxyproline
CHEBI:36006	#icosapentaenoic acid
CHEBI:51084	#inorganic nitrate salt
CHEBI:24848	#inositol
CHEBI:15443	#inulin
CHEBI:24859	#iodine
CHEBI:18248	#iron
CHEBI:30887	#isocitric acid
CHEBI:72572	#isoflavan
CHEBI:27945	#isoflavanone
CHEBI:38757	#isoflavone
CHEBI:50753	#isoflavonoid
CHEBI:24898	#isoleucine
CHEBI:142263	#isopeonidin 3-rutinoside
CHEBI:27552	#isosakuranetin
CHEBI:18330	#isovitexin
CHEBI:66103	#jaceosidin
CHEBI:15794	#juglone
CHEBI:28499	#kaempferol
CHEBI:29073	#L-ascorbic acid
CHEBI:27956	#L-dehydroascorbic acid
CHEBI:422	#L-lactic acid
CHEBI:78320	#lactic acid
CHEBI:30805	#lauric acid
CHEBI:25016	#lead
CHEBI:25017	#leucine
CHEBI:25036	#lignan
CHEBI:6457	#lignin
CHEBI:28866	#lignoceric acid
CHEBI:17351	#linoleic acid
CHEBI:25048	#linolenic acid
CHEBI:18059	#lipid
CHEBI:30145	#lithium
CHEBI:6570	#lupeol
CHEBI:28838	#lutein
CHEBI:15864	#luteolin
CHEBI:77791	#luteolin 7-O-beta-glucoside
CHEBI:15948	#lycopene
CHEBI:25094	#lysine
CHEBI:60479	#lysophosphatidylcholine
CHEBI:47925	#m-coumaric
CHEBI:25107	#magnesium
CHEBI:6650	#malic acid
CHEBI:30794	#malonic acid
CHEBI:80371	#malonyl daidzin
CHEBI:80372	#malonyl genistin
CHEBI:80374	#malonyl glycitin
CHEBI:17306	#maltose
CHEBI:6674	#malvidin
CHEBI:31799	#malvidin 3-O-beta-D-glucoside
CHEBI:18291	#manganese
CHEBI:28808	#mannan
CHEBI:29864	#mannitol
CHEBI:37684	#mannose
CHEBI:89634	#melanin
CHEBI:25195	#mercury
CHEBI:28346	#mescaline
CHEBI:16811	#methionine
CHEBI:167164	#mineral nutrient
CHEBI:35381	#monosaccharide
CHEBI:25409	#monoterpenoid
CHEBI:25413	#monounsaturated fatty acid
CHEBI:70082	#myricitrin
CHEBI:28875	#myristic acid
CHEBI:27781	#myristoleic acid
CHEBI:25481	#napthoquinone
CHEBI:50202	#naringenin
CHEBI:28819	#naringin
CHEBI:28705	#narirutin
CHEBI:7502	#neoeriocitrin
CHEBI:71971	#neoflavonoid
CHEBI:59016	#neohesperidin
CHEBI:25497	#neolignan
CHEBI:25501	#neoxanthin
CHEBI:44247	#nervonic acid
CHEBI:15940	#niacin (b3)
CHEBI:25555	#nitrogen
CHEBI:7602	#nobiletin
CHEBI:18176	#o-coumaric acid
CHEBI:28837	#octanoic acid
CHEBI:16196	#oleic acid
CHEBI:50699	#oligosaccharide
CHEBI:25681	#omega 3 fatty acid
CHEBI:36009	#omega-6 fatty acid
CHEBI:64709	#organic acid
CHEBI:16995	#oxalic acid
CHEBI:30744	#oxaloacetic acid
CHEBI:36090	#p-coumaric acid
CHEBI:59265	#palmitelaidic acid
CHEBI:15756	#palmitic acid
CHEBI:28716	#palmitoleic acid
CHEBI:46905	#pantothenic acid (b5)
CHEBI:17309	#pectin
CHEBI:25863	#pelargonidin
CHEBI:36122	#pelargonidin 3-O-beta-D-glucoside chloride
CHEBI:31968	#pelargonidin 3-O-rutinoside
CHEBI:166896	#peltogynoid
CHEBI:42504	#pentadecanoic acid
CHEBI:31985	#petunidin 3-O-beta-glucoside
CHEBI:166890	#phenolic acid
CHEBI:51867	#phenolic ketone
CHEBI:33853	#phenols
CHEBI:30745	#phenylacetic acid
CHEBI:28044	#phenylalanine
CHEBI:166891	#phenylpropane
CHEBI:26004	#phenylpropanoid
CHEBI:17276	#phloretin
CHEBI:8113	#phlorizin
CHEBI:16204	#phloroglucinol
CHEBI:71222	#phlorotannin
CHEBI:64482	#phophotidlycholine
CHEBI:18303	#phosphatidyl-L-serine
